store_name,district,word,count,district_count
스타벅스 한국프레스센터점,중구,회사,19,2
스타벅스 한국프레스센터점,중구,건물,28,5
스타벅스 한국프레스센터점,중구,내부,24,2
스타벅스 한국프레스센터점,중구,분위기,189,14
스타벅스 한국프레스센터점,중구,일반,14,1
스타벅스 한국프레스센터점,중구,좌석,212,9
스타벅스 한국프레스센터점,중구,콘센트,14,2
스타벅스 한국프레스센터점,중구,노트북,32,3
스타벅스 한국프레스센터점,중구,작업,36,2
스타벅스 한국프레스센터점,중구,이용,303,19
스타벅스 한국프레스센터점,중구,매력적,1,1
스타벅스 한국프레스센터점,중구,매장,1050,44
스타벅스 한국프레스센터점,중구,중앙,4,1
스타벅스 한국프레스센터점,중구,칸막이,1,1
스타벅스 한국프레스센터점,중구,회의실,2,2
스타벅스 한국프레스센터점,중구,별도,6,1
스타벅스 한국프레스센터점,중구,예약,10,2
스타벅스 한국프레스센터점,중구,누구,7,2
스타벅스 한국프레스센터점,중구,자주,76,3
스타벅스 한국프레스센터점,중구,친절,1533,72
스타벅스 한국프레스센터점,중구,청계,1,1
스타벅스 한국프레스센터점,중구,청계광장,1,1
스타벅스 한국프레스센터점,중구,광장,4,1
스타벅스 한국프레스센터점,중구,문학,1,1
스타벅스 한국프레스센터점,중구,문학축제,1,1
스타벅스 한국프레스센터점,중구,축제,3,1
스타벅스 한국프레스센터점,중구,참여,1,1
스타벅스 한국프레스센터점,중구,주차,73,8
스타벅스 한국프레스센터점,중구,빌딩,4,1
스타벅스 한국프레스센터점,중구,스벅,809,59
스타벅스 한국프레스센터점,중구,시청,5,5
스타벅스 한국프레스센터점,중구,시청앞,1,1
스타벅스 한국프레스센터점,중구,프레스,9,9
스타벅스 한국프레스센터점,중구,프레스센터,4,4
스타벅스 한국프레스센터점,중구,센터,10,9
스타벅스 한국프레스센터점,중구,주말,119,12
스타벅스 한국프레스센터점,중구,지하,14,2
스타벅스 한국프레스센터점,중구,아케이드,1,1
스타벅스 한국프레스센터점,중구,휴무,1,1
스타벅스 한국프레스센터점,중구,층스벅,1,1
스타벅스 한국프레스센터점,중구,자리,513,15
스타벅스 한국프레스센터점,중구,쭉쭉,1,1
스타벅스 한국프레스센터점,중구,부분,11,2
스타벅스 한국프레스센터점,중구,소파,8,1
스타벅스 한국프레스센터점,중구,소파테이블,1,1
스타벅스 한국프레스센터점,중구,테이블,72,6
스타벅스 한국프레스센터점,중구,우리,24,3
스타벅스 한국프레스센터점,중구,희망,1,1
스타벅스 한국프레스센터점,중구,소파라니횡재,1,1
스타벅스 한국프레스센터점,중구,라니,3,1
스타벅스 한국프레스센터점,중구,횡재,1,1
스타벅스 한국프레스센터점,중구,느낌,77,8
스타벅스 한국프레스센터점,중구,마음,29,2
스타벅스 한국프레스센터점,중구,편안,83,3
스타벅스 한국프레스센터점,중구,주문,307,12
스타벅스 한국프레스센터점,중구,선배,2,1
스타벅스 한국프레스센터점,중구,종류,71,8
스타벅스 한국프레스센터점,중구,카페,167,8
스타벅스 한국프레스센터점,중구,아이스,161,10
스타벅스 한국프레스센터점,중구,카스,45,3
스타벅스 한국프레스센터점,중구,카스테라,36,3
스타벅스 한국프레스센터점,중구,테라,46,3
스타벅스 한국프레스센터점,중구,라떼,240,11
스타벅스 한국프레스센터점,중구,대신,21,2
스타벅스 한국프레스센터점,중구,스벅커피향,1,1
스타벅스 한국프레스센터점,중구,뭥미,1,1
