카테고리,메뉴,이미지_URL,칼로리(Kcal),당류(g),단백질(g),나트륨(mg),포화지방(g),카페인(mg)
콜드 브루 커피,나이트로 바닐라 크림,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000002487]_20210426091745467.jpg,80.0,10.0,1.0,40.0,2.0,232.0
콜드 브루 커피,나이트로 콜드 브루,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000000479]_20210426091843897.jpg,5.0,0.0,0.0,5.0,0.0,245.0
콜드 브루 커피,돌체 콜드 브루,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000002081]_20210415133656839.jpg,220.0,22.0,6.0,80.0,6.0,155.0
콜드 브루 커피,리저브 나이트로,https://image.istarbucks.co.kr/upload/store/skuimg/2021/02/[9200000002407]_20210225095106743.jpg,5.0,0.0,0.0,0.0,0.0,190.0
콜드 브루 커피,리저브 콜드 브루,https://image.istarbucks.co.kr/upload/store/skuimg/2024/03/[9200000002093]_20240318144604476.jpg,5.0,0.0,0.0,0.0,0.0,190.0
콜드 브루 커피,막걸리향 크림 콜드 브루,https://image.istarbucks.co.kr/upload/store/skuimg/2024/05/[9200000005282]_20240509131200017.jpg,300.0,32.0,3.0,65.0,13.0,53.0
콜드 브루 커피,민트 콜드 브루,https://image.istarbucks.co.kr/upload/store/skuimg/2022/10/[9200000004312]_20221005145029134.jpg,100.0,23.0,0.0,0.0,0.0,415.0
콜드 브루 커피,바닐라 크림 콜드 브루,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000000487]_20210430112319040.jpg,125.0,11.0,3.0,58.0,6.0,155.0
콜드 브루 커피,시그니처 더 블랙 콜드 브루,https://image.istarbucks.co.kr/upload/store/skuimg/2024/12/[9200000003661]_20241230131104423.jpg,25.0,0.0,0.0,50.0,0.0,680.0
콜드 브루 커피,여수 윤슬 헤이즐넛 콜드브루,https://image.istarbucks.co.kr/upload/store/skuimg/2023/08/[9200000004750]_20230801101408624.jpg,240.0,27.0,5.0,80.0,9.0,53.0
콜드 브루 커피,오트 콜드 브루,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000003285]_20210416154437069.jpg,120.0,14.0,1.0,95.0,0.3,65.0
콜드 브루 커피,제주 비자림 리저브 콜드 브루,https://image.istarbucks.co.kr/upload/store/skuimg/2024/10/[9200000005616]_20241014134021881.jpg,205.0,26.0,8.0,100.0,4.1,250.0
콜드 브루 커피,콜드 브루,https://image.istarbucks.co.kr/upload/store/skuimg/2023/07/[9200000004770]_20230720103902092.jpg,5.0,0.0,0.0,11.0,0.0,155.0
콜드 브루 커피,콜드 브루(Trenta),https://image.istarbucks.co.kr/upload/store/skuimg/2023/07/[9200000004770]_20230720103902092.jpg,5.0,0.0,0.0,25.0,0.0,360.0
콜드 브루 커피,콜드 브루 몰트,https://image.istarbucks.co.kr/upload/store/skuimg/2021/02/[9200000001636]_20210225093600536.jpg,505.0,41.0,7.0,150.0,20.0,190.0
콜드 브루 커피,콜드 브루 플로트,https://image.istarbucks.co.kr/upload/store/skuimg/2021/02/[9200000001635]_20210225092236748.jpg,225.0,18.0,3.0,70.0,10.0,190.0
콜드 브루 커피,흑임자 크림 콜드 브루,https://image.istarbucks.co.kr/upload/store/skuimg/2024/07/[9200000005378]_20240701133238491.jpg,220.0,16.0,2.0,40.0,13.0,200.0
브루드 커피,아이스 커피,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[106509]_20210430111852870.jpg,5.0,0.0,0.0,10.0,0.0,140.0
브루드 커피,오늘의 커피,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[2]_20210430111934117.jpg,5.0,0.0,0.0,15.0,0.0,260.0
에스프레소,아몬드 크림 오트 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2025/01/[9200000005824]_20250124124328144.jpg,250.0,26.0,4.0,210.0,6.0,75.0
에스프레소,아이스 아몬드 크림 오트 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2025/02/[9200000005827]_20250205112919897.jpg,230.0,25.0,3.0,180.0,5.0,75.0
에스프레소,아이스 헤이즐넛 클라우드 모카,https://image.istarbucks.co.kr/upload/store/skuimg/2025/02/[9200000005851]_20250205113025473.jpg,230.0,26.0,6.0,75.0,7.0,85.0
에스프레소,헤이즐넛 클라우드 모카,https://image.istarbucks.co.kr/upload/store/skuimg/2025/01/[9200000005848]_20250124124839138.jpg,290.0,31.0,9.0,130.0,9.0,85.0
에스프레소,에스프레소 콘 파나,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[30]_20210415144252244.jpg,30.0,0.0,1.0,5.0,2.0,75.0
에스프레소,에스프레소 마키아또,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[25]_20210415144211211.jpg,10.0,0.0,0.0,0.0,0.0,75.0
에스프레소,스타벅스 1호점 카페 아메리카노,https://image.istarbucks.co.kr/upload/store/skuimg/2024/09/[9200000005514]_20240919154516844.jpg,10.0,0.0,1.0,0.0,0.0,210.0
