Name,Address,Visitor_Reviews,Blog_Reviews,District
스타벅스 역삼아레나빌딩점,서울 강남구 역삼동,3070,77,강남구
스타벅스 논현역사거리점,서울 강남구 논현동,4760,179,강남구
스타벅스 신사역성일빌딩점,서울 강남구 논현동,4281,89,강남구
스타벅스 국기원사거리점,서울 강남구 역삼동,4602,154,강남구
스타벅스 대치재경빌딩점,서울 강남구 대치동,3510,136,강남구
스타벅스 봉은사역점,서울 강남구 삼성동,2882,75,강남구
스타벅스 압구정윤성빌딩점,서울 강남구 신사동,2861,133,강남구
스타벅스 코엑스별마당점,서울 강남구 삼성동,5341,189,강남구
스타벅스 삼성역섬유센터R점,서울 강남구 대치동,6540,237,강남구
스타벅스 압구정R점,서울 강남구 신사동,2858,119,강남구
스타벅스 수서역R점,서울 강남구 수서동,5197,245,강남구
스타벅스 양재강남빌딩R점,서울 강남구 도곡동,5173,257,강남구
스타벅스 선릉동신빌딩R점,서울 강남구 삼성동,5347,228,강남구
스타벅스 봉은사로선정릉점,서울 강남구 삼성동,2481,62,강남구
스타벅스 강남오거리점,서울 강남구 역삼동,4557,173,강남구
스타벅스 스타필드코엑스몰R점,서울 강남구 삼성동,3795,422,강남구
스타벅스 강남구청정문점,서울 강남구 청담동,3068,105,강남구
스타벅스 도곡공원점,서울 강남구 역삼동,3192,63,강남구
스타벅스 강남R점,서울 강남구 역삼동,8025,882,강남구
스타벅스 대치은마사거리점,서울 강남구 대치동,2300,77,강남구
스타벅스 청담영동대로점,서울 강남구 청담동,3126,73,강남구
스타벅스 압구정역사3번출구점,서울 강남구 신사동,8,5,강남구
스타벅스 신사가로수점,서울 강남구 신사동,3026,173,강남구
스타벅스 청담스타R점,서울 강남구 청담동,3474,834,강남구
스타벅스 강남우성점,서울 강남구 역삼동,4530,145,강남구
스타벅스 학동사거리점,서울 강남구 논현동,5112,226,강남구
스타벅스 대치사거리점,서울 강남구 대치동,2679,88,강남구
스타벅스 포스코사거리점,서울 강남구 삼성동,3489,84,강남구
스타벅스 을지병원사거리점,서울 강남구 논현동,2723,94,강남구
스타벅스 도곡역점,서울 강남구 대치동,2615,92,강남구
스타벅스 서울세관사거리점,서울 강남구 논현동,3538,98,강남구
스타벅스 청담사거리점,서울 강남구 청담동,3222,224,강남구
스타벅스 한티역점,서울 강남구 대치동,3279,140,강남구
스타벅스 역삼초교사거리점,서울 강남구 역삼동,4549,128,강남구
스타벅스 가로수길점,서울 강남구 신사동,3408,177,강남구
스타벅스 역삼대로점,서울 강남구 역삼동,2204,82,강남구
스타벅스 역삼포스코점,서울 강남구 역삼동,4496,110,강남구
스타벅스 강남대로점,서울 강남구 역삼동,4633,241,강남구
스타벅스 삼성도심공항점,서울 강남구 삼성동,3880,103,강남구
스타벅스 삼성교점,서울 강남구 대치동,4111,110,강남구
스타벅스 학동역점,서울 강남구 논현동,5219,216,강남구
스타벅스 신세계푸드마켓도곡점,서울 강남구 도곡동,2911,133,강남구
스타벅스 삼성점,서울 강남구 삼성동,2756,92,강남구
스타벅스 선릉세화빌딩점,서울 강남구 대치동,4992,166,강남구
스타벅스 압구정로점,서울 강남구 신사동,2741,40,강남구
스타벅스 구역삼사거리점,서울 강남구 역삼동,3256,117,강남구
스타벅스 큰길타워점,서울 강남구 역삼동,1899,92,강남구
스타벅스 강남구청역점,서울 강남구 논현동,4277,219,강남구
스타벅스 대치역점,서울 강남구 대치동,1625,52,강남구
스타벅스 포이점,서울 강남구 개포동,4022,103,강남구
스타벅스 아크플레이스점,서울 강남구 역삼동,3512,112,강남구
스타벅스 학여울역점,서울 강남구 대치동,3198,91,강남구
스타벅스 선정릉역점,서울 강남구 삼성동,3435,133,강남구
스타벅스 삼성현대힐점,서울 강남구 삼성동,3584,84,강남구
스타벅스 GS타워점,서울 강남구 역삼동,2868,76,강남구
스타벅스 압구정미소점,서울 강남구 신사동,5018,135,강남구
스타벅스 선릉역점,서울 강남구 역삼동,3830,191,강남구
스타벅스 코엑스사거리점,서울 강남구 삼성동,3596,171,강남구
스타벅스 역삼럭키점,서울 강남구 역삼동,2575,69,강남구
스타벅스 신압구정점,서울 강남구 신사동,3810,122,강남구
스타벅스 아크로힐스논현점,서울 강남구 역삼동,2739,72,강남구
스타벅스 강남비젼타워점,서울 강남구 역삼동,5488,212,강남구
스타벅스 압구정로데오역점,서울 강남구 청담동,4788,302,강남구
스타벅스 르네상스사거리점,서울 강남구 역삼동,3160,129,강남구
스타벅스 포스코점,서울 강남구 대치동,2205,58,강남구
스타벅스 선릉로점,서울 강남구 역삼동,3386,96,강남구
스타벅스 논현힐탑점,서울 강남구 논현동,2727,76,강남구
스타벅스 도산가로수길점,서울 강남구 논현동,4170,140,강남구
스타벅스 매봉역점,서울 강남구 도곡동,143,19,강남구
스타벅스 대치한티점,서울 강남구 대치동,2730,94,강남구
스타벅스 개포동점,서울 강남구 개포동,696,58,강남구
스타벅스 수서역사거리점,서울 강남구 수서동,2525,83,강남구
스타벅스 코엑스아셈타워점,서울 강남구 삼성동,1551,44,강남구
스타벅스 센터필드R점,서울 강남구 역삼동,2350,175,강남구
스타벅스 도산사거리점,서울 강남구 논현동,1613,68,강남구
스타벅스 강남세곡점,서울 강남구 세곡동,2883,89,강남구
스타벅스 대치삼성점,서울 강남구 대치동,2093,76,강남구
스타벅스 언주역점,서울 강남구 역삼동,1027,62,강남구
스타벅스 강남역신분당역사점,서울 강남구 역삼동,1311,83,강남구
스타벅스 테헤란로아남타워점,서울 강남구 역삼동,3254,78,강남구
스타벅스 강남논현점,서울 강남구 논현동,812,41,강남구
스타벅스 삼성동점,서울 강남구 삼성동,1442,39,강남구
스타벅스 청담역점,서울 강남구 청담동,485,26,강남구
스타벅스 압구정현대아파트점,서울 강남구 신사동,190,26,강남구
스타벅스 강남청담빌딩점,서울 강남구 청담동,72,4,강남구
스타벅스 역삼이마트점,서울 강남구 역삼동,393,31,강남구
스타벅스 케이스퀘어강남점,서울 강남구 역삼동,10,13,강남구
스타벅스 강남세곡DT점,서울 강남구 세곡동,219,42,강남구
스타벅스 미아뉴타운점,서울 강북구 미아동,5092,89,강북구
스타벅스 강북구청사거리점,서울 강북구 수유동,7989,207,강북구
스타벅스 미아사거리역점,서울 강북구 미아동,7540,160,강북구
스타벅스 수유역점,서울 강북구 번동,8732,209,강북구
스타벅스 미아역점,서울 강북구 미아동,7855,127,강북구
스타벅스 수유역5번출구점,서울 강북구 수유동,184,24,강북구
스타벅스 파라스파라서울점,서울 강북구 우이동,2462,259,강북구
스타벅스 발산역사거리점,서울 강서구 마곡동,4685,91,강서구
스타벅스 마곡역점,서울 강서구 마곡동,4658,150,강서구
스타벅스 우장산역점,서울 강서구 내발산동,7476,254,강서구
스타벅스 마곡사이언스타워R점,서울 강서구 마곡동,6648,450,강서구
스타벅스 방화DT점,서울 강서구 방화동,6069,186,강서구
