옵션,매장명,위도,경도
지하철 인접,역삼아레나빌딩,37.501087,127.043069
지하철 인접,논현역사거리,37.510178,127.022223
지하철 인접,신사역성일빌딩,37.5139309,127.0206057
지하철 인접,봉은사역,37.515000,127.063196
지하철 인접,압구정윤성빌딩,37.5227934,127.0286009
지하철 인접,코엑스별마당,37.510150,127.060275
지하철 인접,삼성역섬유센터R,37.507750,127.060651
지하철 인접,수서역R,37.488008,127.102650
지하철 인접,양재강남빌딩R,37.485192,127.036685
지하철 인접,선릉동신빌딩R,37.505321,127.050409
지하철 인접,봉은사로선정릉,37.51131683405367,127.04846338902248
지하철 인접,스타필드코엑스몰R,37.50999,127.061455
지하철 인접,강남R,37.497711,127.028439
지하철 인접,대치은마사거리,37.498973,127.060172
지하철 인접,압구정,37.526283,127.02956
지하철 인접,청담스타R,37.525216,127.041827
지하철 인접,대치사거리,37.503331,127.058817
지하철 인접,을지병원사거리,37.5191632,127.0286446
지하철 인접,신사역,37.5162021,127.0207428
지하철 인접,도곡역,37.492167,127.057398
지하철 인접,서울세관사거리,37.514887,127.035653
지하철 인접,청담사거리,37.5236351,127.04686509999999
지하철 인접,한티역,37.496801,127.055055
지하철 인접,코엑스몰,37.513715,127.059245
지하철 인접,역삼대로,37.501623,127.039375
지하철 인접,역삼포스코,37.499721,127.033582
지하철 인접,강남대로,37.50314,127.025546
지하철 인접,청담,37.5243631,127.05155990000003
지하철 인접,삼성도심공항,37.5097863,127.05791339999996
지하철 인접,삼성교,37.507794,127.06517
지하철 인접,학동역,37.51464884,127.0307302
지하철 인접,대치,37.49966175,127.0622171
지하철 인접,신세계푸드마켓도곡,37.490298,127.054895
지하철 인접,선릉세화빌딩,37.50377562,127.051196
지하철 인접,압구정역,37.52674095,127.0281105
지하철 인접,구역삼사거리,37.49592355,127.0388645
지하철 인접,큰길타워,37.50236693,127.0407
지하철 인접,강남구청역,37.5165849,127.04124330000002
지하철 인접,대치역,37.493554,127.061874
지하철 인접,아크플레이스,37.49971982,127.0349084
지하철 인접,학여울역,37.49803646,127.0684943
지하철 인접,선정릉역,37.51075489999999,127.04455970000003
지하철 인접,삼성현대힐,37.51350444312708,127.05273753314826
지하철 인접,GS타워,37.5018592,127.03727759999992
지하철 인접,압구정미소,37.523912710310014,127.02807214378778
지하철 인접,선릉역,37.50393894,127.0485135
지하철 인접,코엑스사거리,37.515351,127.060109
지하철 인접,아크로힐스논현,37.509013311862645,127.0403523996554
지하철 인접,강남비젼타워,37.4964557,127.02968850000002
지하철 인접,압구정로데오역,37.526549,127.040437
지하철 인접,르네상스사거리,37.502721,127.044308
지하철 인접,선릉로,37.50498118534617,127.0468080752464
지하철 인접,논현힐탑,37.51159269029387,127.03219311069766
지하철 인접,도산가로수길,37.51736229999999,127.02329570000006
지하철 인접,대치한티,37.4984818,127.052066
지하철 인접,수서역사거리,37.4873267937748,127.103140081887
지하철 인접,코엑스아셈타워,37.513019,127.059838
지하철 인접,강남역신분당역사,37.4970572543978,127.028180714381
지하철 인접,삼성역,37.509206962541256,127.06560851480327
지하철 인접,압구정역사3번출구,37.52575281715033,127.02886190444627
지하철 인접,청담역,37.5194407323478,127.049552661542
지하철 인접,강남청담빌딩,37.517887,127.041375
지하철 인접,케이스퀘어강남,37.4991914625768,127.028204360257
지하철 인접,강북구청사거리,37.639987861152015,127.0274331199793
지하철 인접,미아사거리역,37.611831247629375,127.03058552434908
지하철 인접,수유역,37.6380167,127.02613500000007
지하철 인접,미아역,37.626148,127.026578
지하철 인접,수유역5번출구,37.636722675028174,127.02332208832509
지하철 인접,발산역사거리,37.558509,126.835096
지하철 인접,마곡역,37.559611,126.826298
지하철 인접,우장산역,37.549510038803994,126.83606164803061
지하철 인접,마곡나루역,37.56813,126.82614
지하철 인접,가양역,37.561640,126.853327
지하철 인접,양천향교역,37.566964,126.840731
지하철 인접,등촌,37.5582043,126.84433919999992
지하철 인접,염창역,37.547359,126.874436
지하철 인접,발산역,37.560301448004914,126.83913349547197
지하철 인접,까치산역,37.5323235082489,126.84612332664443
지하철 인접,발산역5번출구,37.5579224739977,126.84054030692
지하철 인접,가양역사거리,37.56007,126.855372
지하철 인접,마곡나루공원,37.567007,126.822246
지하철 인접,송정역,37.56105570786667,126.81150987871888
지하철 인접,낙성대역,37.477760129939064,126.96114261955485
지하철 인접,관악서울대입구R,37.47932480888598,126.95270199623682
지하철 인접,서울대역,37.48166265091104,126.9520164977362
지하철 인접,낙성대DT,37.476243169019526,126.96511724631266
지하철 인접,사당,37.4760559,126.980928
지하철 인접,신림,37.48609493,126.9291602
지하철 인접,신림타임스트림,37.48407101920536,126.93025831103377
지하철 인접,서울대입구역,37.481207389699065,126.95140060487287
지하철 인접,서울대입구역8번출구,37.4812061,126.9536942
지하철 인접,봉천역,37.4820375340064,126.942287792538
지하철 인접,건국대,37.5415592,127.0711244
지하철 인접,어린이대공원역,37.551946,127.076404
지하철 인접,아차산역,37.55062116262961,127.09003207951664
지하철 인접,자양사거리,37.5371158,127.0825821
지하철 인접,군자역,37.557026068940765,127.07910984029934
지하철 인접,광나루,37.5473711178786,127.106048727555
지하철 인접,건대스타시티,37.538544,127.073009
지하철 인접,건대입구,37.5406604,127.07072249999999
지하철 인접,구의역,37.53698,127.084015
지하철 인접,건국클래식,37.538466,127.071271
지하철 인접,건대후문,37.54603056145237,127.07381934747977
지하철 인접,중곡역,37.565057005115804,127.08445231025851
지하철 인접,자양역,37.532684640479,127.067878503557
지하철 인접,화양삼거리,37.54774853077512,127.07126924540047
지하철 인접,군자사거리,37.55769507399991,127.079087912222
지하철 인접,금천구청역,37.45588672536701,126.89568245942294
지하철 인접,가산에스케이,37.48082408602027,126.88100079322535
지하철 인접,가산디지털단지역,37.48135375445197,126.88358906045958
지하철 인접,가산디지털,37.479970085901,126.882507193785
지하철 인접,마리오아울렛,37.47860691180926,126.88484825777416
지하철 인접,가산브이타워,37.47700409645337,126.88355058577785
지하철 인접,독산역,37.46770966619833,126.88767404102677
지하철 인접,가산케이에스,37.48089352069766,126.88515566597013
지하철 인접,가산그레이트,37.47955080325422,126.88727191931528
지하철 인접,월계역,37.6295,127.0574
지하철 인접,상계초교사거리,37.656776,127.066442
지하철 인접,공릉DT,37.6206884,127.0743116
지하철 인접,공릉역,37.626337,127.072252
지하철 인접,노원KT,37.654562,127.063617
지하철 인접,광운대,37.62317424708698,127.06080652927419
지하철 인접,중계역,37.64817,127.062244
지하철 인접,노원역,37.654751,127.060034
지하철 인접,태릉입구역DT,37.61942,127.07932
지하철 인접,쌍문역,37.648456,127.034783
지하철 인접,창동역,37.6545021055909,127.049672533607
지하철 인접,남성역,37.4841198,126.9725739
지하철 인접,상도역,37.5031936,126.9484581
지하철 인접,이수자이,37.484414,126.980047
지하철 인접,노량진역,37.51339,126.940879
지하철 인접,신대방삼거리역,37.50034872148687,126.93198758957686
지하철 인접,숭실대입구역,37.4968346,126.95271230000003
지하철 인접,숭실대,37.49538073,126.9548891
지하철 인접,사당역,37.47849216,126.9813456
지하철 인접,공덕,37.545913,126.952956
지하철 인접,홍대공항철도역,37.557491,126.925146
지하철 인접,마포염리,37.543876,126.94768
지하철 인접,서강광흥창역,37.549377,126.931661
지하철 인접,합정,37.54997888236882,126.91254036891405
지하철 인접,서강대흥역,37.548178,126.941576
지하철 인접,서교동사거리,37.553376,126.918564
지하철 인접,신촌오거리,37.555137,126.934694
지하철 인접,상수역,37.5474817,126.92321579999998
지하철 인접,공덕오거리,37.5424641,126.95057730000008
지하철 인접,서강대,37.5524584,126.9378262
지하철 인접,홍대역,37.557175,126.923654
지하철 인접,동교,37.556928,126.919819
지하철 인접,애오개역,37.5523207784261,126.955694482104
지하철 인접,마포일진빌딩,37.54043451,126.9463168
지하철 인접,홍대삼거리,37.55024764,126.9232823
지하철 인접,망원역,37.555829,126.910637
지하철 인접,마포이마트,37.542421,126.953341
지하철 인접,합정메세나몰,37.55005846963587,126.91355876250871
지하철 인접,아현역대로,37.55716559459335,126.9549050409227
지하철 인접,홍대역8번출구,37.556743503599,126.924166543608
지하철 인접,홍대동교,37.5583280533329,126.926246501876
지하철 인접,마포구청역,37.5649569864623,126.902554646241
지하철 인접,신촌역,37.55625738,126.934653
지하철 인접,아현역,37.558245014814666,126.95616914989028
지하철 인접,홍제역,37.588658,126.943864
지하철 인접,경기대,37.56367995,126.9646045
지하철 인접,신촌,37.55648577,126.9371155
지하철 인접,이대,37.55848315,126.9459643
지하철 인접,연대,37.558706,126.936727
지하철 인접,충정로역,37.56137,126.963219
지하철 인접,충정타워,37.559869,126.96411
지하철 인접,이대역,37.55702459539767,126.94630659955032
지하철 인접,현대신촌,37.55592458080376,126.93569449086847
지하철 인접,방배로,37.4793434,126.9994968
지하철 인접,강남교보타워R,37.5037107773698,127.024335263404
지하철 인접,방배다이치빌딩,37.484329,126.995872
지하철 인접,센트럴F1,37.505148,127.004395
지하철 인접,서초구청,37.484353839,127.030090489
지하철 인접,서초우성사거리,37.493545,127.02943
지하철 인접,이수역사거리,37.48585,126.983027
지하철 인접,강남대로신사,37.51489,127.019469
