Store,Theme,final_theme_score
역삼아레나빌딩,분위기,1.87
역삼아레나빌딩,환경,6.0
역삼아레나빌딩,프라이버시,6.95
역삼아레나빌딩,집중도,9.74
역삼아레나빌딩,개인 시간,7.78
역삼아레나빌딩,편의성,8.18
논현역사거리,분위기,0.06
논현역사거리,환경,4.09
논현역사거리,프라이버시,4.46
논현역사거리,집중도,7.55
논현역사거리,개인 시간,8.53
논현역사거리,편의성,7.99
신사역성일빌딩,분위기,0.24
신사역성일빌딩,환경,4.85
신사역성일빌딩,프라이버시,4.82
신사역성일빌딩,집중도,7.6
신사역성일빌딩,개인 시간,5.8
신사역성일빌딩,편의성,6.54
국기원사거리,분위기,0.46
국기원사거리,환경,4.68
국기원사거리,프라이버시,5.11
국기원사거리,집중도,7.72
국기원사거리,개인 시간,7.81
국기원사거리,편의성,7.89
대치재경빌딩,분위기,0.86
대치재경빌딩,환경,4.79
대치재경빌딩,프라이버시,6.01
대치재경빌딩,집중도,9.91
대치재경빌딩,개인 시간,11.12
대치재경빌딩,편의성,9.32
봉은사역,분위기,0.93
봉은사역,환경,5.2
봉은사역,프라이버시,5.28
봉은사역,집중도,8.6
봉은사역,개인 시간,9.62
봉은사역,편의성,8.87
압구정윤성빌딩,분위기,0.96
압구정윤성빌딩,환경,5.82
압구정윤성빌딩,프라이버시,5.91
압구정윤성빌딩,집중도,8.7
압구정윤성빌딩,개인 시간,9.21
압구정윤성빌딩,편의성,9.23
코엑스별마당,분위기,0.62
코엑스별마당,환경,3.88
코엑스별마당,프라이버시,2.75
코엑스별마당,집중도,9.12
코엑스별마당,개인 시간,10.14
코엑스별마당,편의성,7.83
삼성역섬유센터R,분위기,0.09
삼성역섬유센터R,환경,3.29
삼성역섬유센터R,프라이버시,4.55
삼성역섬유센터R,집중도,7.72
삼성역섬유센터R,개인 시간,9.71
삼성역섬유센터R,편의성,8.14
압구정R,분위기,1.55
압구정R,환경,5.61
압구정R,프라이버시,7.12
압구정R,집중도,9.86
압구정R,개인 시간,10.16
압구정R,편의성,8.16
수서역R,분위기,0.1
수서역R,환경,2.9
수서역R,프라이버시,4.65
수서역R,집중도,7.04
수서역R,개인 시간,8.17
수서역R,편의성,6.24
양재강남빌딩R,분위기,0.14
양재강남빌딩R,환경,3.75
양재강남빌딩R,프라이버시,5.04
양재강남빌딩R,집중도,7.4
양재강남빌딩R,개인 시간,6.27
양재강남빌딩R,편의성,6.31
선릉동신빌딩R,분위기,0.78
선릉동신빌딩R,환경,3.93
선릉동신빌딩R,프라이버시,5.69
선릉동신빌딩R,집중도,8.18
선릉동신빌딩R,개인 시간,15.25
선릉동신빌딩R,편의성,11.36
