Store,Theme,final_theme_score
역삼아레나빌딩,분위기,4.19
역삼아레나빌딩,공간,6.76
역삼아레나빌딩,프라이버시,10.09
역삼아레나빌딩,서비스,6.1
역삼아레나빌딩,단체모임,6.57
역삼아레나빌딩,가성비,10.34
논현역사거리,분위기,2.78
논현역사거리,공간,4.69
논현역사거리,프라이버시,3.56
논현역사거리,서비스,4.94
논현역사거리,단체모임,4.03
논현역사거리,가성비,6.83
신사역성일빌딩,분위기,2.55
신사역성일빌딩,공간,5.0
신사역성일빌딩,프라이버시,4.03
신사역성일빌딩,서비스,5.21
신사역성일빌딩,단체모임,4.17
신사역성일빌딩,가성비,7.31
국기원사거리,분위기,2.3
국기원사거리,공간,5.89
국기원사거리,프라이버시,3.43
국기원사거리,서비스,4.96
국기원사거리,단체모임,4.75
국기원사거리,가성비,7.23
대치재경빌딩,분위기,3.72
대치재경빌딩,공간,6.17
대치재경빌딩,프라이버시,5.49
대치재경빌딩,서비스,6.08
대치재경빌딩,단체모임,5.05
대치재경빌딩,가성비,8.21
봉은사역,분위기,3.24
봉은사역,공간,5.43
봉은사역,프라이버시,4.2
봉은사역,서비스,6.28
봉은사역,단체모임,4.82
봉은사역,가성비,9.29
압구정윤성빌딩,분위기,3.1
압구정윤성빌딩,공간,6.06
압구정윤성빌딩,프라이버시,4.83
압구정윤성빌딩,서비스,6.01
압구정윤성빌딩,단체모임,5.04
압구정윤성빌딩,가성비,10.02
코엑스별마당,분위기,4.45
코엑스별마당,공간,7.73
코엑스별마당,프라이버시,-0.62
코엑스별마당,서비스,4.61
코엑스별마당,단체모임,6.37
코엑스별마당,가성비,4.58
삼성역섬유센터R,분위기,3.58
삼성역섬유센터R,공간,5.86
삼성역섬유센터R,프라이버시,1.99
삼성역섬유센터R,서비스,4.64
삼성역섬유센터R,단체모임,4.39
삼성역섬유센터R,가성비,5.6
압구정R,분위기,4.07
압구정R,공간,7.01
압구정R,프라이버시,9.86
압구정R,서비스,6.75
압구정R,단체모임,6.15
압구정R,가성비,6.65
수서역R,분위기,3.46
수서역R,공간,5.28
수서역R,프라이버시,2.99
수서역R,서비스,4.62
수서역R,단체모임,4.2
수서역R,가성비,3.55
양재강남빌딩R,분위기,2.65
양재강남빌딩R,공간,5.69
양재강남빌딩R,프라이버시,3.37
양재강남빌딩R,서비스,4.74
양재강남빌딩R,단체모임,4.16
양재강남빌딩R,가성비,4.91
선릉동신빌딩R,분위기,3.82
선릉동신빌딩R,공간,6.03
선릉동신빌딩R,프라이버시,5.55
선릉동신빌딩R,서비스,4.95
선릉동신빌딩R,단체모임,5.17
선릉동신빌딩R,가성비,8.44
봉은사로선정릉,분위기,5.4
봉은사로선정릉,공간,7.91
봉은사로선정릉,프라이버시,4.97
봉은사로선정릉,서비스,8.27
봉은사로선정릉,단체모임,7.04
봉은사로선정릉,가성비,14.26
강남오거리,분위기,3.38
강남오거리,공간,6.97
강남오거리,프라이버시,5.62
강남오거리,서비스,5.63
강남오거리,단체모임,4.94
강남오거리,가성비,8.83
