Store,Theme,final_theme_score
역삼아레나빌딩,분위기,2.55
역삼아레나빌딩,사교 활동,13.25
역삼아레나빌딩,시각적 요소,8.63
역삼아레나빌딩,경험,4.3
역삼아레나빌딩,다양성,6.45
역삼아레나빌딩,특별함,7.99
논현역사거리,분위기,0.47
논현역사거리,사교 활동,8.0
논현역사거리,시각적 요소,6.3
논현역사거리,경험,3.12
논현역사거리,다양성,5.27
논현역사거리,특별함,6.77
신사역성일빌딩,분위기,0.25
신사역성일빌딩,사교 활동,8.48
신사역성일빌딩,시각적 요소,6.94
신사역성일빌딩,경험,3.47
신사역성일빌딩,다양성,5.19
신사역성일빌딩,특별함,6.12
국기원사거리,분위기,-0.2
국기원사거리,사교 활동,9.12
국기원사거리,시각적 요소,6.84
국기원사거리,경험,3.47
국기원사거리,다양성,5.24
국기원사거리,특별함,6.64
대치재경빌딩,분위기,1.92
대치재경빌딩,사교 활동,10.21
대치재경빌딩,시각적 요소,6.89
대치재경빌딩,경험,4.1
대치재경빌딩,다양성,6.62
대치재경빌딩,특별함,7.94
봉은사역,분위기,1.33
봉은사역,사교 활동,10.48
봉은사역,시각적 요소,7.18
봉은사역,경험,4.13
봉은사역,다양성,6.26
봉은사역,특별함,8.62
압구정윤성빌딩,분위기,1.08
압구정윤성빌딩,사교 활동,10.66
압구정윤성빌딩,시각적 요소,7.47
압구정윤성빌딩,경험,4.37
압구정윤성빌딩,다양성,5.94
압구정윤성빌딩,특별함,9.5
코엑스별마당,분위기,3.14
코엑스별마당,사교 활동,11.83
코엑스별마당,시각적 요소,4.78
코엑스별마당,경험,3.55
코엑스별마당,다양성,5.06
코엑스별마당,특별함,6.45
삼성역섬유센터R,분위기,1.65
삼성역섬유센터R,사교 활동,8.41
삼성역섬유센터R,시각적 요소,5.33
삼성역섬유센터R,경험,3.42
삼성역섬유센터R,다양성,4.98
삼성역섬유센터R,특별함,6.23
압구정R,분위기,2.34
압구정R,사교 활동,12.14
압구정R,시각적 요소,7.76
압구정R,경험,4.57
압구정R,다양성,6.69
압구정R,특별함,8.4
수서역R,분위기,1.48
수서역R,사교 활동,8.32
수서역R,시각적 요소,5.15
수서역R,경험,3.27
수서역R,다양성,4.81
수서역R,특별함,5.69
양재강남빌딩R,분위기,0.18
양재강남빌딩R,사교 활동,8.12
양재강남빌딩R,시각적 요소,5.67
양재강남빌딩R,경험,3.41
양재강남빌딩R,다양성,5.06
양재강남빌딩R,특별함,5.27
선릉동신빌딩R,분위기,2.03
선릉동신빌딩R,사교 활동,10.16
선릉동신빌딩R,시각적 요소,6.14
선릉동신빌딩R,경험,3.67
선릉동신빌딩R,다양성,5.37
선릉동신빌딩R,특별함,7.45
봉은사로선정릉,분위기,4.59
봉은사로선정릉,사교 활동,14.62
봉은사로선정릉,시각적 요소,9.44
봉은사로선정릉,경험,5.83
봉은사로선정릉,다양성,7.79
봉은사로선정릉,특별함,12.12
강남오거리,분위기,1.29
강남오거리,사교 활동,9.71
강남오거리,시각적 요소,8.71
강남오거리,경험,4.03
강남오거리,다양성,5.98
강남오거리,특별함,7.33
스타필드코엑스몰R,분위기,3.25
스타필드코엑스몰R,사교 활동,9.59
스타필드코엑스몰R,시각적 요소,6.83
스타필드코엑스몰R,경험,4.19
스타필드코엑스몰R,다양성,6.47
스타필드코엑스몰R,특별함,9.04
강남구청정문,분위기,2.68
강남구청정문,사교 활동,11.37
강남구청정문,시각적 요소,9.17
강남구청정문,경험,4.41
강남구청정문,다양성,6.24
강남구청정문,특별함,9.43
도곡공원,분위기,0.56
도곡공원,사교 활동,10.97
도곡공원,시각적 요소,8.44
도곡공원,경험,3.95
도곡공원,다양성,6.69
도곡공원,특별함,7.96
강남R,분위기,-0.21
강남R,사교 활동,6.43
강남R,시각적 요소,4.57
강남R,경험,2.71
강남R,다양성,4.43
강남R,특별함,5.33
대치은마사거리,분위기,3.27
대치은마사거리,사교 활동,17.27
대치은마사거리,시각적 요소,19.23
대치은마사거리,경험,5.22
대치은마사거리,다양성,7.92
대치은마사거리,특별함,16.35
청담영동대로,분위기,1.84
청담영동대로,사교 활동,10.44
청담영동대로,시각적 요소,7.91
청담영동대로,경험,4.3
청담영동대로,다양성,5.61
청담영동대로,특별함,7.01
청담스타R,분위기,1.75
청담스타R,사교 활동,11.11
청담스타R,시각적 요소,5.71
청담스타R,경험,3.94
청담스타R,다양성,6.37
청담스타R,특별함,7.12
강남우성,분위기,0.91
강남우성,사교 활동,11.26
강남우성,시각적 요소,7.84
강남우성,경험,3.83
강남우성,다양성,5.58
강남우성,특별함,8.68
학동사거리,분위기,1.7
학동사거리,사교 활동,9.59
학동사거리,시각적 요소,7.24
학동사거리,경험,3.57
학동사거리,다양성,5.19
학동사거리,특별함,7.35
대치사거리,분위기,2.64
대치사거리,사교 활동,12.59
대치사거리,시각적 요소,12.18
대치사거리,경험,4.66
대치사거리,다양성,7.37
대치사거리,특별함,9.78
포스코사거리,분위기,7.33
포스코사거리,사교 활동,13.38
포스코사거리,시각적 요소,10.5
포스코사거리,경험,5.28
포스코사거리,다양성,6.73
포스코사거리,특별함,10.78
을지병원사거리,분위기,3.27
을지병원사거리,사교 활동,15.55
을지병원사거리,시각적 요소,12.56
을지병원사거리,경험,5.38
을지병원사거리,다양성,7.78
을지병원사거리,특별함,12.98
신사역,분위기,2.01
신사역,사교 활동,12.33
신사역,시각적 요소,8.4
신사역,경험,4.17
신사역,다양성,5.89
신사역,특별함,8.95
도곡역,분위기,3.12
도곡역,사교 활동,13.1
도곡역,시각적 요소,10.94
도곡역,경험,5.27
도곡역,다양성,7.82
도곡역,특별함,12.08
서울세관사거리,분위기,2.35
서울세관사거리,사교 활동,11.33
서울세관사거리,시각적 요소,7.51
서울세관사거리,경험,4.28
서울세관사거리,다양성,6.5
서울세관사거리,특별함,8.49
한티역,분위기,1.0
한티역,사교 활동,12.0
한티역,시각적 요소,8.81
한티역,경험,4.58
한티역,다양성,6.73
한티역,특별함,10.4
역삼초교사거리,분위기,0.92
역삼초교사거리,사교 활동,8.61
역삼초교사거리,시각적 요소,7.1
역삼초교사거리,경험,3.61
역삼초교사거리,다양성,5.52
역삼초교사거리,특별함,7.86
코엑스몰,분위기,2.36
코엑스몰,사교 활동,8.91
코엑스몰,시각적 요소,8.13
코엑스몰,경험,3.33
코엑스몰,다양성,5.15
코엑스몰,특별함,6.92
가로수길,분위기,1.28
가로수길,사교 활동,10.6
가로수길,시각적 요소,8.42
가로수길,경험,4.21
가로수길,다양성,6.27
가로수길,특별함,9.38
역삼대로,분위기,5.32
역삼대로,사교 활동,15.19
역삼대로,시각적 요소,11.42
역삼대로,경험,5.76
역삼대로,다양성,8.21
역삼대로,특별함,13.94
역삼포스코,분위기,2.41
역삼포스코,사교 활동,11.82
역삼포스코,시각적 요소,7.7
역삼포스코,경험,3.97
역삼포스코,다양성,5.51
역삼포스코,특별함,8.46
강남대로,분위기,1.19
강남대로,사교 활동,9.08
강남대로,시각적 요소,7.45
강남대로,경험,3.65
강남대로,다양성,5.48
강남대로,특별함,8.05
청담,분위기,3.18
청담,사교 활동,14.86
청담,시각적 요소,9.57
청담,경험,4.87
청담,다양성,7.01
청담,특별함,10.32
삼성도심공항,분위기,2.59
삼성도심공항,사교 활동,11.37
삼성도심공항,시각적 요소,8.22
삼성도심공항,경험,4.2
삼성도심공항,다양성,6.8
삼성도심공항,특별함,8.52
삼성교,분위기,1.68
삼성교,사교 활동,9.66
삼성교,시각적 요소,7.59
삼성교,경험,3.77
삼성교,다양성,6.09
삼성교,특별함,9.94
학동역,분위기,0.62
학동역,사교 활동,9.52
학동역,시각적 요소,6.54
학동역,경험,3.33
학동역,다양성,5.32
학동역,특별함,6.2
삼성,분위기,11.74
삼성,사교 활동,19.83
