Store,Theme,final_theme_score
역삼아레나빌딩,분위기,3.39
역삼아레나빌딩,공간,4.27
역삼아레나빌딩,서비스,5.56
역삼아레나빌딩,청결도,8.47
역삼아레나빌딩,집중도,9.74
역삼아레나빌딩,가성비,8.64
논현역사거리,분위기,1.65
논현역사거리,공간,2.56
논현역사거리,서비스,4.58
논현역사거리,청결도,7.29
논현역사거리,집중도,7.55
논현역사거리,가성비,6.01
신사역성일빌딩,분위기,1.91
신사역성일빌딩,공간,3.04
신사역성일빌딩,서비스,4.81
신사역성일빌딩,청결도,6.95
신사역성일빌딩,집중도,7.6
신사역성일빌딩,가성비,6.32
국기원사거리,분위기,2.14
국기원사거리,공간,3.35
국기원사거리,서비스,4.59
국기원사거리,청결도,7.39
국기원사거리,집중도,7.72
국기원사거리,가성비,5.95
대치재경빌딩,분위기,2.37
대치재경빌딩,공간,2.94
대치재경빌딩,서비스,5.54
대치재경빌딩,청결도,9.29
대치재경빌딩,집중도,9.91
대치재경빌딩,가성비,6.09
봉은사역,분위기,2.49
봉은사역,공간,3.08
봉은사역,서비스,5.73
봉은사역,청결도,8.15
봉은사역,집중도,8.6
봉은사역,가성비,7.58
압구정윤성빌딩,분위기,2.56
압구정윤성빌딩,공간,3.65
압구정윤성빌딩,서비스,5.5
압구정윤성빌딩,청결도,8.21
압구정윤성빌딩,집중도,8.7
압구정윤성빌딩,가성비,8.14
코엑스별마당,분위기,1.47
코엑스별마당,공간,2.45
코엑스별마당,서비스,4.26
코엑스별마당,청결도,8.63
코엑스별마당,집중도,9.12
코엑스별마당,가성비,3.89
삼성역섬유센터R,분위기,1.4
삼성역섬유센터R,공간,1.74
삼성역섬유센터R,서비스,4.33
삼성역섬유센터R,청결도,7.47
삼성역섬유센터R,집중도,7.72
삼성역섬유센터R,가성비,4.79
압구정R,분위기,3.07
압구정R,공간,3.43
압구정R,서비스,6.12
압구정R,청결도,9.04
압구정R,집중도,9.86
압구정R,가성비,5.34
수서역R,분위기,1.5
수서역R,공간,1.44
수서역R,서비스,4.32
수서역R,청결도,6.88
수서역R,집중도,7.04
수서역R,가성비,2.72
양재강남빌딩R,분위기,1.71
양재강남빌딩R,공간,2.25
양재강남빌딩R,서비스,4.41
양재강남빌딩R,청결도,6.92
양재강남빌딩R,집중도,7.4
양재강남빌딩R,가성비,4.13
선릉동신빌딩R,분위기,2.27
선릉동신빌딩R,공간,2.28
선릉동신빌딩R,서비스,4.61
선릉동신빌딩R,청결도,8.09
선릉동신빌딩R,집중도,8.18
선릉동신빌딩R,가성비,6.86
봉은사로선정릉,분위기,3.39
봉은사로선정릉,공간,5.39
봉은사로선정릉,서비스,7.4
봉은사로선정릉,청결도,11.34
